optID,theoryPrice,computeTime,error
10002049,0.958693498802733,0.001002,
10002049,,,"VG参数不满足约束条件: 1 - -0.0001 - 5.1005 = -4.100450 ≤ 0
请检查参数: sigma=10.1, nu=0.1, theta=-0.0005"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 10.5125 = -9.512460 ≤ 0
请检查参数: sigma=14.5, nu=0.1, theta=-0.0004"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 13.1220 = -12.121960 ≤ 0
请检查参数: sigma=16.2, nu=0.1, theta=-0.0004"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 13.9445 = -12.944460 ≤ 0
请检查参数: sigma=16.7, nu=0.1, theta=-0.0004"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 25.0880 = -24.087960 ≤ 0
请检查参数: sigma=22.4, nu=0.1, theta=-0.0004"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 27.8480 = -26.847960 ≤ 0
请检查参数: sigma=23.6, nu=0.1, theta=-0.0004"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 23.3280 = -22.327960 ≤ 0
请检查参数: sigma=21.6, nu=0.1, theta=-0.0004"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 17.4845 = -16.484460 ≤ 0
请检查参数: sigma=18.7, nu=0.1, theta=-0.0004"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 19.4045 = -18.404460 ≤ 0
请检查参数: sigma=19.7, nu=0.1, theta=-0.0004"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 17.1125 = -16.112460 ≤ 0
请检查参数: sigma=18.5, nu=0.1, theta=-0.0004"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 26.6805 = -25.680460 ≤ 0
请检查参数: sigma=23.1, nu=0.1, theta=-0.0004"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 30.0125 = -29.012470 ≤ 0
请检查参数: sigma=24.5, nu=0.1, theta=-0.0003"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 31.0005 = -30.000470 ≤ 0
请检查参数: sigma=24.9, nu=0.1, theta=-0.0003"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 21.2180 = -20.217970 ≤ 0
请检查参数: sigma=20.6, nu=0.1, theta=-0.0003"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 30.2580 = -29.257970 ≤ 0
请检查参数: sigma=24.6, nu=0.1, theta=-0.0003"
10002049,0.574129772700151,0.0,
10002049,0.29985209835834026,0.000999,
10002049,0.33281468193641495,0.0,
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 22.2605 = -21.260470 ≤ 0
请检查参数: sigma=21.1, nu=0.1, theta=-0.0003"
10002049,0.8470807931856137,0.0,
10002049,0.059235741047466046,0.001,
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 43.5125 = -42.512470 ≤ 0
请检查参数: sigma=29.5, nu=0.1, theta=-0.0003"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 10.2245 = -9.224470 ≤ 0
请检查参数: sigma=14.3, nu=0.1, theta=-0.0003"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 6.8445 = -5.844470 ≤ 0
请检查参数: sigma=11.7, nu=0.1, theta=-0.0003"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 1.5125 = -0.512470 ≤ 0
请检查参数: sigma=5.5, nu=0.1, theta=-0.0003"
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 1.5125 = -0.512470 ≤ 0
请检查参数: sigma=5.5, nu=0.1, theta=-0.0003"
10002049,0.2643127147537126,0.0,
10002049,,,"VG参数不满足约束条件: 1 - -0.0000 - 6.7280 = -5.727970 ≤ 0
请检查参数: sigma=11.6, nu=0.1, theta=-0.0003"
10002050,,,"VG参数不满足约束条件: 1 - -0.0001 - 4.7045 = -3.704440 ≤ 0
请检查参数: sigma=9.7, nu=0.1, theta=-0.0006"
10002050,,,"VG参数不满足约束条件: 1 - -0.0001 - 5.9405 = -4.940440 ≤ 0
请检查参数: sigma=10.9, nu=0.1, theta=-0.0006"
10002050,,,"VG参数不满足约束条件: 1 - -0.0001 - 7.5645 = -6.564450 ≤ 0
请检查参数: sigma=12.3, nu=0.1, theta=-0.0005"
10002050,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.9405 = -8.940450 ≤ 0
请检查参数: sigma=14.1, nu=0.1, theta=-0.0005"
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 11.7045 = -10.704460 ≤ 0
请检查参数: sigma=15.3, nu=0.1, theta=-0.0004"
10002050,,,"VG参数不满足约束条件: 1 - -0.0001 - 19.2080 = -18.207950 ≤ 0
请检查参数: sigma=19.6, nu=0.1, theta=-0.0005"
10002050,,,"VG参数不满足约束条件: 1 - -0.0001 - 21.2180 = -20.217950 ≤ 0
请检查参数: sigma=20.6, nu=0.1, theta=-0.0005"
10002050,,,"VG参数不满足约束条件: 1 - -0.0001 - 17.6720 = -16.671950 ≤ 0
请检查参数: sigma=18.8, nu=0.1, theta=-0.0005"
10002050,,,"VG参数不满足约束条件: 1 - -0.0001 - 14.2805 = -13.280450 ≤ 0
请检查参数: sigma=16.9, nu=0.1, theta=-0.0005"
10002050,,,"VG参数不满足约束条件: 1 - -0.0001 - 12.6405 = -11.640450 ≤ 0
请检查参数: sigma=15.9, nu=0.1, theta=-0.0005"
10002050,,,"VG参数不满足约束条件: 1 - -0.0001 - 12.1680 = -11.167950 ≤ 0
请检查参数: sigma=15.6, nu=0.1, theta=-0.0005"
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 17.2980 = -16.297960 ≤ 0
请检查参数: sigma=18.6, nu=0.1, theta=-0.0004"
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 21.8405 = -20.840460 ≤ 0
请检查参数: sigma=20.9, nu=0.1, theta=-0.0004"
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 18.0500 = -17.049960 ≤ 0
请检查参数: sigma=19.0, nu=0.1, theta=-0.0004"
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 18.6245 = -17.624470 ≤ 0
请检查参数: sigma=19.3, nu=0.1, theta=-0.0003"
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 23.7620 = -22.761970 ≤ 0
请检查参数: sigma=21.8, nu=0.1, theta=-0.0003"
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 7.3205 = -6.320470 ≤ 0
请检查参数: sigma=12.1, nu=0.1, theta=-0.0003"
10002050,0.3009184038351,0.001001,
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 18.4320 = -17.431970 ≤ 0
请检查参数: sigma=19.2, nu=0.1, theta=-0.0003"
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 17.6720 = -16.671970 ≤ 0
请检查参数: sigma=18.8, nu=0.1, theta=-0.0003"
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 2.4500 = -1.449970 ≤ 0
请检查参数: sigma=7.0, nu=0.1, theta=-0.0003"
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 14.1120 = -13.111970 ≤ 0
请检查参数: sigma=16.8, nu=0.1, theta=-0.0003"
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 45.3005 = -44.300470 ≤ 0
请检查参数: sigma=30.1, nu=0.1, theta=-0.0003"
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 19.2080 = -18.207970 ≤ 0
请检查参数: sigma=19.6, nu=0.1, theta=-0.0003"
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 25.5380 = -24.537970 ≤ 0
请检查参数: sigma=22.6, nu=0.1, theta=-0.0003"
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 5.4080 = -4.407970 ≤ 0
请检查参数: sigma=10.4, nu=0.1, theta=-0.0003"
10002050,0.20491599038140082,0.0,
10002050,0.26049947512261695,0.0,
10002050,,,"VG参数不满足约束条件: 1 - -0.0000 - 17.8605 = -16.860470 ≤ 0
请检查参数: sigma=18.9, nu=0.1, theta=-0.0003"
10002051,,,"VG参数不满足约束条件: 1 - -0.0001 - 5.4080 = -4.407930 ≤ 0
请检查参数: sigma=10.4, nu=0.1, theta=-0.0007"
10002051,,,"VG参数不满足约束条件: 1 - -0.0001 - 6.4980 = -5.497930 ≤ 0
请检查参数: sigma=11.4, nu=0.1, theta=-0.0007"
10002051,,,"VG参数不满足约束条件: 1 - -0.0001 - 8.4500 = -7.449940 ≤ 0
请检查参数: sigma=13.0, nu=0.1, theta=-0.0006"
10002051,,,"VG参数不满足约束条件: 1 - -0.0001 - 8.9780 = -7.977940 ≤ 0
请检查参数: sigma=13.4, nu=0.1, theta=-0.0006"
10002051,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.5125 = -9.512440 ≤ 0
请检查参数: sigma=14.5, nu=0.1, theta=-0.0006"
10002051,,,"VG参数不满足约束条件: 1 - -0.0001 - 15.4880 = -14.487940 ≤ 0
请检查参数: sigma=17.6, nu=0.1, theta=-0.0006"
10002051,,,"VG参数不满足约束条件: 1 - -0.0001 - 17.1125 = -16.112440 ≤ 0
请检查参数: sigma=18.5, nu=0.1, theta=-0.0006"
10002051,,,"VG参数不满足约束条件: 1 - -0.0001 - 15.1380 = -14.137940 ≤ 0
请检查参数: sigma=17.4, nu=0.1, theta=-0.0006"
10002051,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.5520 = -10.551930 ≤ 0
请检查参数: sigma=15.2, nu=0.1, theta=-0.0007"
10002051,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.9520 = -9.951930 ≤ 0
请检查参数: sigma=14.8, nu=0.1, theta=-0.0007"
10002051,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.6605 = -8.660430 ≤ 0
请检查参数: sigma=13.9, nu=0.1, theta=-0.0007"
10002051,,,"VG参数不满足约束条件: 1 - -0.0001 - 12.3245 = -11.324440 ≤ 0
请检查参数: sigma=15.7, nu=0.1, theta=-0.0006"
10002051,,,"VG参数不满足约束条件: 1 - -0.0001 - 15.8420 = -14.841940 ≤ 0
请检查参数: sigma=17.8, nu=0.1, theta=-0.0006"
10002051,,,"VG参数不满足约束条件: 1 - -0.0001 - 16.9280 = -15.927950 ≤ 0
请检查参数: sigma=18.4, nu=0.1, theta=-0.0005"
10002051,,,"VG参数不满足约束条件: 1 - -0.0000 - 15.1380 = -14.137960 ≤ 0
请检查参数: sigma=17.4, nu=0.1, theta=-0.0004"
10002051,,,"VG参数不满足约束条件: 1 - -0.0000 - 20.6045 = -19.604470 ≤ 0
请检查参数: sigma=20.3, nu=0.1, theta=-0.0003"
10002051,,,"VG参数不满足约束条件: 1 - -0.0000 - 13.2845 = -12.284460 ≤ 0
请检查参数: sigma=16.3, nu=0.1, theta=-0.0004"
10002051,0.043039881057894316,0.0,
10002051,,,"VG参数不满足约束条件: 1 - -0.0000 - 13.2845 = -12.284460 ≤ 0
请检查参数: sigma=16.3, nu=0.1, theta=-0.0004"
10002051,,,"VG参数不满足约束条件: 1 - -0.0000 - 12.1680 = -11.167960 ≤ 0
请检查参数: sigma=15.6, nu=0.1, theta=-0.0004"
10002051,,,"VG参数不满足约束条件: 1 - -0.0000 - 12.0125 = -11.012460 ≤ 0
请检查参数: sigma=15.5, nu=0.1, theta=-0.0004"
10002051,,,"VG参数不满足约束条件: 1 - -0.0000 - 10.5125 = -9.512460 ≤ 0
请检查参数: sigma=14.5, nu=0.1, theta=-0.0004"
10002051,,,"VG参数不满足约束条件: 1 - -0.0000 - 28.0845 = -27.084470 ≤ 0
请检查参数: sigma=23.7, nu=0.1, theta=-0.0003"
10002051,,,"VG参数不满足约束条件: 1 - -0.0000 - 2.1780 = -1.177970 ≤ 0
请检查参数: sigma=6.6, nu=0.1, theta=-0.0003"
10002051,,,"VG参数不满足约束条件: 1 - -0.0000 - 12.8000 = -11.799970 ≤ 0
请检查参数: sigma=16.0, nu=0.1, theta=-0.0003"
10002051,0.3068524218838291,0.001047,
10002051,0.36526023461849083,0.0,
10002051,,,"VG参数不满足约束条件: 1 - -0.0000 - 1.9845 = -0.984470 ≤ 0
请检查参数: sigma=6.3, nu=0.1, theta=-0.0003"
10002051,,,"VG参数不满足约束条件: 1 - -0.0000 - 9.1125 = -8.112470 ≤ 0
请检查参数: sigma=13.5, nu=0.1, theta=-0.0003"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 5.8320 = -4.831930 ≤ 0
请检查参数: sigma=10.8, nu=0.1, theta=-0.0007"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 6.7280 = -5.727930 ≤ 0
请检查参数: sigma=11.6, nu=0.1, theta=-0.0007"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 8.3205 = -7.320430 ≤ 0
请检查参数: sigma=12.9, nu=0.1, theta=-0.0007"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 8.1920 = -7.191930 ≤ 0
请检查参数: sigma=12.8, nu=0.1, theta=-0.0007"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 8.4500 = -7.449930 ≤ 0
请检查参数: sigma=13.0, nu=0.1, theta=-0.0007"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 12.6405 = -11.640430 ≤ 0
请检查参数: sigma=15.9, nu=0.1, theta=-0.0007"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 14.1120 = -13.111930 ≤ 0
请检查参数: sigma=16.8, nu=0.1, theta=-0.0007"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 12.6405 = -11.640420 ≤ 0
请检查参数: sigma=15.9, nu=0.1, theta=-0.0008"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.0820 = -9.081920 ≤ 0
请检查参数: sigma=14.2, nu=0.1, theta=-0.0008"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.2480 = -8.247920 ≤ 0
请检查参数: sigma=13.6, nu=0.1, theta=-0.0008"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 8.7120 = -7.711920 ≤ 0
请检查参数: sigma=13.2, nu=0.1, theta=-0.0008"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.5220 = -8.521920 ≤ 0
请检查参数: sigma=13.8, nu=0.1, theta=-0.0008"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 12.1680 = -11.167920 ≤ 0
请检查参数: sigma=15.6, nu=0.1, theta=-0.0008"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.7045 = -10.704430 ≤ 0
请检查参数: sigma=15.3, nu=0.1, theta=-0.0007"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.7045 = -10.704440 ≤ 0
请检查参数: sigma=15.3, nu=0.1, theta=-0.0006"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 13.1220 = -12.121950 ≤ 0
请检查参数: sigma=16.2, nu=0.1, theta=-0.0005"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.8000 = -8.799950 ≤ 0
请检查参数: sigma=14.0, nu=0.1, theta=-0.0005"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 7.3205 = -6.320440 ≤ 0
请检查参数: sigma=12.1, nu=0.1, theta=-0.0006"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 12.1680 = -11.167950 ≤ 0
请检查参数: sigma=15.6, nu=0.1, theta=-0.0005"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.5520 = -10.551930 ≤ 0
请检查参数: sigma=15.2, nu=0.1, theta=-0.0007"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.0820 = -9.081940 ≤ 0
请检查参数: sigma=14.2, nu=0.1, theta=-0.0006"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.6605 = -8.660450 ≤ 0
请检查参数: sigma=13.9, nu=0.1, theta=-0.0005"
10002052,,,"VG参数不满足约束条件: 1 - -0.0000 - 17.4845 = -16.484460 ≤ 0
请检查参数: sigma=18.7, nu=0.1, theta=-0.0004"
10002052,,,"VG参数不满足约束条件: 1 - -0.0000 - 9.5220 = -8.521960 ≤ 0
请检查参数: sigma=13.8, nu=0.1, theta=-0.0004"
10002052,,,"VG参数不满足约束条件: 1 - -0.0001 - 14.4500 = -13.449950 ≤ 0
请检查参数: sigma=17.0, nu=0.1, theta=-0.0005"
10002052,0.08877430339481163,0.001171,
10002052,0.1719438261347227,0.0,
10002052,,,"VG参数不满足约束条件: 1 - -0.0000 - 1.5125 = -0.512470 ≤ 0
请检查参数: sigma=5.5, nu=0.1, theta=-0.0003"
10002052,0.09336695650162079,0.0,
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 6.3845 = -5.384440 ≤ 0
请检查参数: sigma=11.3, nu=0.1, theta=-0.0006"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 6.9620 = -5.961940 ≤ 0
请检查参数: sigma=11.8, nu=0.1, theta=-0.0006"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 8.4500 = -7.449930 ≤ 0
请检查参数: sigma=13.0, nu=0.1, theta=-0.0007"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 8.1920 = -7.191920 ≤ 0
请检查参数: sigma=12.8, nu=0.1, theta=-0.0008"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 8.0645 = -7.064420 ≤ 0
请检查参数: sigma=12.7, nu=0.1, theta=-0.0008"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.4005 = -10.400420 ≤ 0
请检查参数: sigma=15.1, nu=0.1, theta=-0.0008"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 12.6405 = -11.640420 ≤ 0
请检查参数: sigma=15.9, nu=0.1, theta=-0.0008"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.7045 = -10.704420 ≤ 0
请检查参数: sigma=15.3, nu=0.1, theta=-0.0008"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.3680 = -9.367920 ≤ 0
请检查参数: sigma=14.4, nu=0.1, theta=-0.0008"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 8.5805 = -7.580420 ≤ 0
请检查参数: sigma=13.1, nu=0.1, theta=-0.0008"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 8.5805 = -7.580420 ≤ 0
请检查参数: sigma=13.1, nu=0.1, theta=-0.0008"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 8.9780 = -7.977910 ≤ 0
请检查参数: sigma=13.4, nu=0.1, theta=-0.0009"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.9405 = -8.940410 ≤ 0
请检查参数: sigma=14.1, nu=0.1, theta=-0.0009"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.2500 = -10.249910 ≤ 0
请检查参数: sigma=15.0, nu=0.1, theta=-0.0009"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.6580 = -9.657920 ≤ 0
请检查参数: sigma=14.6, nu=0.1, theta=-0.0008"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.2500 = -10.249930 ≤ 0
请检查参数: sigma=15.0, nu=0.1, theta=-0.0007"
